Reference,Location,U-Pb (Ma)
5,Africa,607
5,Africa,462
5,Africa,950
5,Africa,963
5,Africa,560
5,Africa,686
5,Africa,670
5,Africa,588
5,Africa,679
5,Africa,732
5,Africa,1025
5,Africa,563
5,Africa,678
5,Africa,591
5,Africa,841
5,Africa,968
5,Africa,627
5,Africa,666
5,Africa,677
5,Africa,588
5,Africa,657
5,Africa,621
5,Africa,791
5,Africa,760
5,Africa,654
5,Africa,995
5,Africa,566
5,Africa,792
5,Africa,669
5,Africa,911
5,Africa,948
5,Africa,557
5,Africa,660
5,Africa,663
5,Africa,619
5,Africa,679
5,Africa,1056
5,Africa,674
5,Africa,927
5,Africa,854
5,Africa,972
5,Africa,845
5,Africa,935
5,Africa,545
5,Africa,697
5,Africa,573
5,Africa,880
5,Africa,605
5,Africa,621
5,Africa,602
5,Africa,782
5,Africa,733
5,Africa,605
5,Africa,900
5,Africa,650
5,Africa,736
5,Africa,748
5,Africa,602
5,Africa,670
5,Africa,579
5,Africa,557
5,Africa,542
5,Africa,795
5,Africa,544
5,Africa,576
5,Africa,1003
5,Africa,649
5,Africa,666
5,Africa,747
5,Africa,756
5,Africa,638
5,Africa,651
5,Africa,696
5,Africa,709
5,Africa,820
5,Africa,661
5,Africa,539
5,Africa,586
5,Africa,650
5,Africa,755
5,Africa,752
5,Africa,953
5,Africa,591
5,Africa,567
5,Africa,745
5,Africa,690
5,Africa,560
5,Africa,575
5,Africa,567
5,Africa,628
5,Africa,931
5,Africa,546
5,Africa,561
5,Africa,549
5,Africa,538
5,Africa,540
5,Africa,550
5,Africa,581
5,Africa,570
5,Africa,567
5,Africa,537
5,Africa,547
5,Africa,597
5,Africa,560
5,Africa,567
5,Africa,664
5,Africa,532
5,Africa,565
5,Africa,548
5,Africa,551
5,Africa,719
5,Africa,559
5,Africa,577
5,Africa,632
5,Africa,549
5,Africa,557
5,Africa,592
5,Africa,602
5,Africa,563
5,Africa,616
5,Africa,651
5,Africa,566
5,Africa,574
5,Africa,735
5,Africa,569
5,Africa,576
5,Africa,564
5,Africa,574
5,Africa,586
5,Africa,543
5,Africa,606
5,Africa,606
5,Africa,917
5,Africa,574
